DriverNumber,LapNumber,RPM,nGear,Throttle,Brake,DRS
5,53,9062.120234604106,3.7947214076246336,44.86510263929619,99,0
5,54,9148.20241691843,3.8731117824773413,47.21752265861027,96,0
5,55,9180.496913580248,3.8395061728395063,48.388888888888886,100,0
5,56,9242.396341463415,3.8597560975609757,49.948170731707314,100,13
5,57,9204.070336391438,3.819571865443425,48.56269113149847,95,4
5,58,9208.227963525836,3.8662613981762917,48.95744680851064,90,0
5,59,9207.324159021407,3.8287461773700304,48.22018348623853,90,0
5,60,9208.024390243903,3.8445121951219514,48.3719512195122,95,0
5,61,9260.442367601247,3.850467289719626,49.06542056074766,92,11
5,62,9244.618902439024,3.8597560975609757,48.951219512195124,95,7
5,63,9216.897832817338,3.829721362229102,48.743034055727556,94,14
5,64,9203.823529411764,3.8544891640866874,48.94427244582043,99,6
5,65,9248.655384615384,3.84,48.20307692307692,96,0
5,66,9261.340490797545,3.892638036809816,49.75766871165644,100,0
5,67,9290.498489425981,3.897280966767372,49.87613293051359,98,0
5,68,9241.844512195123,3.8963414634146343,49.8140243902439,96,0
5,69,9319.2375,3.803125,49.521875,95,0
5,70,9303.312693498452,3.873065015479876,50.3312693498452,93,0
5,71,9066.166172106825,3.8100890207715135,45.29970326409496,109,0
5,72,8303.704194260486,2.69757174392936,30.282560706401767,123,0
5,73,8782.327956989247,3.389784946236559,41.3494623655914,122,0
5,74,9291.767080745341,3.841614906832298,48.98757763975155,93,0
5,75,9322.217791411043,3.776073619631902,49.29141104294479,97,0
5,76,9267.277777777777,3.8487654320987654,49.0,93,0
5,77,9256.030581039755,3.834862385321101,47.98776758409786,102,0
5,78,4951.09375,1.7776442307692308,12.376201923076923,76,0
7,1,9295.978723404256,3.838905775075988,46.69604863221885,93,0
7,2,9292.103658536585,3.8201219512195124,46.52439024390244,99,0
7,3,9315.003058103975,3.856269113149847,46.75535168195719,95,17
7,4,9226.648148148148,3.873456790123457,46.48148148148148,101,20
7,5,9329.657407407407,3.845679012345679,47.358024691358025,96,20
7,6,9354.191358024691,3.8117283950617282,47.623456790123456,93,22
7,7,9510.852307692308,3.793846153846154,48.73538461538462,97,4
7,8,9401.710280373833,3.850467289719626,49.532710280373834,89,0
7,9,9332.583333333334,3.9074074074074074,49.22530864197531,94,0
7,10,9377.603715170279,3.808049535603715,48.35294117647059,93,0
7,11,9312.8,3.8492307692307692,47.747692307692304,94,18
7,12,9580.761755485893,3.830721003134796,51.29780564263323,95,5
7,13,9606.273291925465,3.7857142857142856,52.2111801242236,90,0
7,14,9584.19435736677,3.761755485893417,52.26959247648903,90,0
7,15,9554.846625766872,3.736196319018405,51.46319018404908,90,0
7,16,8755.646766169155,2.987562189054726,53.47014925373134,116,0
7,17,9754.934131736527,3.3922155688622753,52.31437125748503,93,0
7,18,9372.043343653251,3.873065015479876,48.46749226006192,92,0
7,19,9536.482866043614,3.7601246105919004,49.78816199376947,97,0
7,20,9352.396284829721,3.8421052631578947,48.22291021671827,93,0
7,21,9397.569230769232,3.8153846153846156,47.824615384615385,92,0
7,22,9248.5,3.8363636363636364,44.76969696969697,95,0
7,23,9166.384146341463,3.850609756097561,44.58536585365854,103,10
7,24,9170.217125382263,3.859327217125382,44.90519877675841,101,5
7,25,9186.253776435045,3.809667673716012,44.220543806646525,98,0
7,26,9272.570149253732,3.7970149253731345,45.113432835820895,97,0
7,27,9328.450151057401,3.7401812688821754,45.873111782477345,95,0
7,28,9193.28484848485,3.7151515151515153,44.45757575757576,101,0
7,29,9254.482035928144,3.745508982035928,45.01197604790419,98,0
7,30,9306.30303030303,3.6818181818181817,45.403030303030306,96,0
7,31,9337.294832826748,3.7537993920972643,46.69908814589666,97,0
7,32,9255.132930513595,3.782477341389728,46.45921450151057,95,0
7,33,9363.872727272726,3.6818181818181817,45.95151515151515,98,0
7,34,9297.381818181819,3.690909090909091,46.054545454545455,100,0
7,35,9359.519637462236,3.634441087613293,46.01510574018127,100,0
7,36,9345.77245508982,3.751497005988024,47.48502994011976,93,0
7,37,9303.46827794562,3.7250755287009065,46.283987915407856,98,0
7,38,9272.024242424242,3.727272727272727,46.75454545454546,96,0
7,39,9297.30421686747,3.75,46.66867469879518,104,0
7,40,9240.259036144578,3.7439759036144578,45.45783132530121,99,0
