meeting_key,session_key,driver_number,i1_speed,i2_speed,st_speed,date_start,lap_duration,is_pit_out_lap,duration_sector_1,duration_sector_2,duration_sector_3,segments_sector_1,segments_sector_2,segments_sector_3,lap_number
1236,9523,18,168.0,181,268.0,2024-05-26T13:55:31.719000+00:00,82.09,False,21.688,38.358,22.044,"[None, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048, 2049, 2048, 2049]","[2048, 2048, 2049, 2048, 2048]",9
1236,9523,22,180.0,175,274.0,2024-05-26T13:55:29.820000+00:00,81.896,False,21.733,38.258,21.905,"[None, 2048, 2049, 2049, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048]",9
1236,9523,23,176.0,177,276.0,2024-05-26T13:55:29.974000+00:00,82.004,False,21.83,38.449,21.725,"[None, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2048]",9
1236,9523,24,167.0,175,279.0,2024-05-26T13:55:35.280000+00:00,81.81,False,21.629,37.916,22.265,"[None, 2048, 2049, 2049, 2048, 2048]","[2049, 2049, 2049, 2049, 2049, 2048, 2048, 2049, 2048, 2048]","[2048, 2049, 2048, 2048, 2048]",9
1236,9523,44,182.0,176,276.0,2024-05-26T13:55:28.562000+00:00,81.851,False,21.875,37.949,22.027,"[2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049]",9
1236,9523,55,188.0,175,276.0,2024-05-26T13:55:19.036000+00:00,80.525,False,21.329,37.64,21.556,"[2048, 2049, 2048, 2048, 2048, 2049]","[2048, 2048, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",9
1236,9523,63,189.0,170,261.0,2024-05-26T13:55:24.848000+00:00,81.433,False,21.68,38.177,21.576,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",9
1236,9523,77,194.0,174,281.0,2024-05-26T13:55:34.369000+00:00,81.715,False,21.618,37.945,22.152,"[None, 2048, 2048, 2048, 2048, 2051]","[2048, 2048, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2049, 2048, 0]",9
1236,9523,81,189.0,181,273.0,2024-05-26T13:55:18.935000+00:00,79.906,False,21.181,37.382,21.343,"[None, 2049, 2049, 2048, 2048, 2048]","[2051, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",9
1236,9523,1,168.0,179,263.0,2024-05-26T13:56:48.824000+00:00,81.244,False,21.172,38.177,21.895,"[2049, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",10
1236,9523,2,172.0,172,282.0,2024-05-26T13:56:56.593000+00:00,81.944,False,21.541,38.354,22.049,"[2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048]",10
1236,9523,3,182.0,163,271.0,2024-05-26T13:56:55.641000+00:00,81.976,False,21.74,38.36,21.876,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2048]",10
1236,9523,4,191.0,181,272.0,2024-05-26T13:56:41.358000+00:00,80.972,False,21.081,37.96,21.931,"[2048, 2048, 2048, 2051, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",10
